Feature,Category
ORIGIN_AIRPORT_ID,10918
ORIGIN_AIRPORT_ID,10920
ORIGIN_AIRPORT_ID,10925
ORIGIN_AIRPORT_ID,10926
ORIGIN_AIRPORT_ID,10929
ORIGIN_AIRPORT_ID,10930
ORIGIN_AIRPORT_ID,10938
ORIGIN_AIRPORT_ID,10950
ORIGIN_AIRPORT_ID,10951
ORIGIN_AIRPORT_ID,10961
ORIGIN_AIRPORT_ID,10965
ORIGIN_AIRPORT_ID,10967
ORIGIN_AIRPORT_ID,10980
ORIGIN_AIRPORT_ID,10990
ORIGIN_AIRPORT_ID,10994
ORIGIN_AIRPORT_ID,10996
ORIGIN_AIRPORT_ID,11003
ORIGIN_AIRPORT_ID,11007
ORIGIN_AIRPORT_ID,11013
ORIGIN_AIRPORT_ID,11027
ORIGIN_AIRPORT_ID,11028
ORIGIN_AIRPORT_ID,11032
ORIGIN_AIRPORT_ID,11036
ORIGIN_AIRPORT_ID,11041
ORIGIN_AIRPORT_ID,11042
ORIGIN_AIRPORT_ID,11049
ORIGIN_AIRPORT_ID,11050
ORIGIN_AIRPORT_ID,11052
ORIGIN_AIRPORT_ID,11053
ORIGIN_AIRPORT_ID,11057
ORIGIN_AIRPORT_ID,11063
ORIGIN_AIRPORT_ID,11066
ORIGIN_AIRPORT_ID,11067
ORIGIN_AIRPORT_ID,11070
ORIGIN_AIRPORT_ID,11075
ORIGIN_AIRPORT_ID,11076
ORIGIN_AIRPORT_ID,11082
ORIGIN_AIRPORT_ID,11085
ORIGIN_AIRPORT_ID,11092
ORIGIN_AIRPORT_ID,11097
ORIGIN_AIRPORT_ID,11108
ORIGIN_AIRPORT_ID,11109
ORIGIN_AIRPORT_ID,11111
ORIGIN_AIRPORT_ID,11118
ORIGIN_AIRPORT_ID,11122
ORIGIN_AIRPORT_ID,11124
ORIGIN_AIRPORT_ID,11126
ORIGIN_AIRPORT_ID,11140
ORIGIN_AIRPORT_ID,11146
ORIGIN_AIRPORT_ID,11150
ORIGIN_AIRPORT_ID,11164
ORIGIN_AIRPORT_ID,11170
ORIGIN_AIRPORT_ID,11172
ORIGIN_AIRPORT_ID,11180
ORIGIN_AIRPORT_ID,11185
ORIGIN_AIRPORT_ID,11187
ORIGIN_AIRPORT_ID,11193
ORIGIN_AIRPORT_ID,11197
ORIGIN_AIRPORT_ID,11203
ORIGIN_AIRPORT_ID,11214
ORIGIN_AIRPORT_ID,11215
ORIGIN_AIRPORT_ID,11216
ORIGIN_AIRPORT_ID,11223
ORIGIN_AIRPORT_ID,11225
ORIGIN_AIRPORT_ID,11227
ORIGIN_AIRPORT_ID,11230
ORIGIN_AIRPORT_ID,11233
ORIGIN_AIRPORT_ID,11241
ORIGIN_AIRPORT_ID,11244
ORIGIN_AIRPORT_ID,11245
ORIGIN_AIRPORT_ID,11252
ORIGIN_AIRPORT_ID,11259
ORIGIN_AIRPORT_ID,11267
ORIGIN_AIRPORT_ID,11274
ORIGIN_AIRPORT_ID,11278
ORIGIN_AIRPORT_ID,11283
ORIGIN_AIRPORT_ID,11288
